anchor,recommended,cosine_score
zara_01.jpg,zara_12.jpg,1335.5179
zara_01.jpg,zara_28.jpg,1317.6293
zara_01.jpg,zara_38.jpg,1282.1473
zara_01.jpg,zara_08.jpg,1230.6049
zara_01.jpg,zara_36.jpg,1220.9371
zara_02.jpg,zara_12.jpg,1492.011
zara_02.jpg,zara_28.jpg,1465.9713
zara_02.jpg,zara_38.jpg,1427.8142
zara_02.jpg,zara_08.jpg,1374.6709
zara_02.jpg,zara_36.jpg,1358.4081
zara_03.jpg,zara_12.jpg,1858.8624
zara_03.jpg,zara_28.jpg,1827.0782
zara_03.jpg,zara_38.jpg,1779.3768
zara_03.jpg,zara_08.jpg,1712.683
zara_03.jpg,zara_36.jpg,1693.0145
zara_04.jpg,zara_12.jpg,1298.1167
zara_04.jpg,zara_28.jpg,1275.8391
zara_04.jpg,zara_38.jpg,1242.5494
zara_04.jpg,zara_08.jpg,1196.035
zara_04.jpg,zara_36.jpg,1182.2266
zara_05.jpg,zara_12.jpg,1460.2423
zara_05.jpg,zara_28.jpg,1439.7328
zara_05.jpg,zara_38.jpg,1401.1973
zara_05.jpg,zara_08.jpg,1345.5101
zara_05.jpg,zara_36.jpg,1334.0771
zara_06.jpg,zara_12.jpg,1254.5693
zara_06.jpg,zara_28.jpg,1237.6434
zara_06.jpg,zara_38.jpg,1204.3424
zara_06.jpg,zara_08.jpg,1156.0133
zara_06.jpg,zara_36.jpg,1146.8198
zara_07.jpg,zara_12.jpg,1571.8458
zara_07.jpg,zara_28.jpg,1550.4689
zara_07.jpg,zara_38.jpg,1508.7915
zara_07.jpg,zara_08.jpg,1448.3583
zara_07.jpg,zara_36.jpg,1436.682
zara_08.jpg,zara_12.jpg,2005.3069
zara_08.jpg,zara_28.jpg,1970.6207
zara_08.jpg,zara_38.jpg,1919.2561
zara_08.jpg,zara_36.jpg,1826.0259
zara_08.jpg,zara_31.jpg,1804.4761
zara_09.jpg,zara_12.jpg,1632.5358
zara_09.jpg,zara_28.jpg,1609.7375
zara_09.jpg,zara_38.jpg,1566.6166
zara_09.jpg,zara_08.jpg,1504.269
zara_09.jpg,zara_36.jpg,1491.6046
zara_10.jpg,zara_12.jpg,1917.2634
zara_10.jpg,zara_28.jpg,1891.0723
zara_10.jpg,zara_38.jpg,1840.2596
zara_10.jpg,zara_08.jpg,1766.6348
zara_10.jpg,zara_36.jpg,1752.2922
zara_11.jpg,zara_12.jpg,1726.3147
zara_11.jpg,zara_28.jpg,1696.3336
zara_11.jpg,zara_38.jpg,1652.1455
zara_11.jpg,zara_08.jpg,1590.55
zara_11.jpg,zara_36.jpg,1571.8663
zara_12.jpg,zara_28.jpg,2138.6257
zara_12.jpg,zara_38.jpg,2082.926
zara_12.jpg,zara_08.jpg,2005.3069
zara_12.jpg,zara_36.jpg,1981.703
zara_12.jpg,zara_31.jpg,1958.322
zara_13.jpg,zara_12.jpg,1320.1781
zara_13.jpg,zara_28.jpg,1297.0782
zara_13.jpg,zara_38.jpg,1263.3292
zara_13.jpg,zara_08.jpg,1216.3525
zara_13.jpg,zara_36.jpg,1201.9091
zara_14.jpg,zara_12.jpg,1384.6099
zara_14.jpg,zara_28.jpg,1360.048
