anchor,recommended,euclidean_score
zara_01.jpg,zara_33.jpg,0.6444
zara_01.jpg,zara_40.jpg,0.7581
zara_01.jpg,zara_35.jpg,1.3274
zara_01.jpg,zara_44.jpg,1.6112
zara_01.jpg,zara_47.jpg,1.6446
zara_02.jpg,zara_24.jpg,1.6381
zara_02.jpg,zara_30.jpg,1.6888
zara_02.jpg,zara_51.jpg,1.8154
zara_02.jpg,zara_05.jpg,1.8245
zara_02.jpg,zara_49.jpg,1.864
zara_03.jpg,zara_15.jpg,0.3861
zara_03.jpg,zara_17.jpg,1.7804
zara_03.jpg,zara_16.jpg,1.9415
zara_03.jpg,zara_43.jpg,2.2618
zara_03.jpg,zara_21.jpg,2.4324
zara_04.jpg,zara_13.jpg,0.4976
zara_04.jpg,zara_35.jpg,0.6604
zara_04.jpg,zara_33.jpg,1.4808
zara_04.jpg,zara_20.jpg,1.6014
zara_04.jpg,zara_40.jpg,1.7355
zara_05.jpg,zara_50.jpg,0.3446
zara_05.jpg,zara_49.jpg,0.4424
zara_05.jpg,zara_51.jpg,0.5865
zara_05.jpg,zara_48.jpg,0.7302
zara_05.jpg,zara_30.jpg,0.8619
zara_06.jpg,zara_47.jpg,0.1631
zara_06.jpg,zara_20.jpg,0.3638
zara_06.jpg,zara_40.jpg,0.9964
zara_06.jpg,zara_33.jpg,1.1691
zara_06.jpg,zara_01.jpg,1.7423
zara_07.jpg,zara_27.jpg,0.2755
zara_07.jpg,zara_32.jpg,1.0502
zara_07.jpg,zara_25.jpg,1.1208
zara_07.jpg,zara_09.jpg,1.3126
zara_07.jpg,zara_24.jpg,1.4243
zara_08.jpg,zara_42.jpg,2.3625
zara_08.jpg,zara_36.jpg,2.7109
zara_08.jpg,zara_38.jpg,2.7367
zara_08.jpg,zara_31.jpg,2.7456
zara_08.jpg,zara_15.jpg,2.7743
zara_09.jpg,zara_29.jpg,0.839
zara_09.jpg,zara_19.jpg,0.8647
zara_09.jpg,zara_39.jpg,1.2632
zara_09.jpg,zara_07.jpg,1.3126
zara_09.jpg,zara_27.jpg,1.3255
zara_10.jpg,zara_53.jpg,0.2753
zara_10.jpg,zara_43.jpg,0.3859
zara_10.jpg,zara_42.jpg,0.883
zara_10.jpg,zara_31.jpg,0.9162
zara_10.jpg,zara_17.jpg,1.1301
zara_11.jpg,zara_21.jpg,0.4138
zara_11.jpg,zara_34.jpg,1.7082
zara_11.jpg,zara_26.jpg,2.2722
zara_11.jpg,zara_16.jpg,2.4471
zara_11.jpg,zara_19.jpg,2.4663
zara_12.jpg,zara_38.jpg,3.0045
zara_12.jpg,zara_28.jpg,3.0631
zara_12.jpg,zara_08.jpg,3.6697
zara_12.jpg,zara_36.jpg,4.9872
zara_12.jpg,zara_42.jpg,5.2128
zara_13.jpg,zara_04.jpg,0.4976
zara_13.jpg,zara_35.jpg,0.5659
zara_13.jpg,zara_14.jpg,1.3869
zara_13.jpg,zara_22.jpg,1.6098
zara_13.jpg,zara_33.jpg,1.6321
zara_14.jpg,zara_22.jpg,0.2229
zara_14.jpg,zara_37.jpg,0.507
zara_14.jpg,zara_13.jpg,1.3869
zara_14.jpg,zara_35.jpg,1.5028
zara_14.jpg,zara_04.jpg,1.8738
zara_15.jpg,zara_03.jpg,0.3861
zara_15.jpg,zara_17.jpg,1.8869
zara_15.jpg,zara_43.jpg,2.235
zara_15.jpg,zara_16.jpg,2.2637
